TimePeriod,Indicator,Subgroup,DataValue
2015,"16.1.1: Number of victims of intentional homicide per 1,00,000 population.",Total,2.63
2015,"16.1.2: Per 1,00,000 Population subjected to physical, psychological or sexual violence in the previous 12 months",Total,58.62
2015,"16.2.1: Proportion of Crime Committed against Children during the year, (rate per 1,00,000 children)",Total,22.06
2015,"16.2.2: Number of victims rescued from human trafficking per 1,00,000 population, by sex, age and form of exploitation",Total,1.99
2015,16.2.3: Number of Missing Children (similar to Indicator 8.7.2 ),Total,60443.0
2015,16.3.2: Unsentenced detainees as a proportion of overall prison population,Undertrials,67.2
2015,16.4.1: Number of cases under the Arms Act,Arms Cases,53300.0
2015,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Percentage Recovery of Stolen Property,16.4
2015,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Recovered,1350.2
2015,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Stolen,8210.4
2015,"16.5.1: Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",Total,0.42
2015,16.9.1: Percentage of births registered,Total,88.3
2015,17.11.1: Share of India�s exports in Global exports,Commercial Services Exports,3.16
2015,17.11.1: Share of India�s exports in Global exports,Merchandise Exports,1.62
2015,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Birth,41.7
2015,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Death,55.6
2015,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Animal,6000.0
2015,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Plant,432799.0
2015,3.2.1: Under-five Mortality Rate,Total Person,43.0
2015,3.2.2: Neonatal Mortality Rate,Total,25.0
2015,"3.3.2: Tuberculosis incidence per 1,00,000 population",Total,217.0
2015,"3.3.3: Malaria incidence per 1,000 population",Total,0.92
2015,3.3.5: Dengue: Case Fatality Ratio (CFR),Total,0.22
2015,"3.3.7: Percentage of blocks reporting < 1 Kala Azar case per 10,000 population out of the total endemic blocks",Total,78.34
2015,3.3.8: Percentage of districts reporting < 1% Microfilaria rate (MF) out of Targeted Endemic districts,Total,22.66
2015,"3.4.2. Suicide mortality rate (per 1,00,000 population)",Total,10.6
2015,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Death Rate,11.81
2015,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Injury Rate,38.31
2015,"3.7.2: Adolescent birth rate (aged 15�19 years) per 1,000 women in that age group",Total,11.1
2015,3.8.7: Percentage of TB cases successfully treated (cured plus treatment completed) among TB cases notified to the national health authorities during a specified period,Total,67.0
2015,"3.8.8: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.c.1)",Total,35.8
2015,3.9.3: Mortality rate attributed to unintentional poisoning,Total,2.08
2015,"3.c.1: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.8.8)",Total,35.8
2015,5.1.2: Per lakh women that have been subjected to dowry offences during the year,Total,2.9
2015,"5.1.4: Rate of Crimes Against Women Per 1,00,000 Female Population",Female,54.23
2015,5.2.1: Proportion of crime against women to total crime reported in the country during the calendar year,Total,6.99
2015,5.2.2: Per lakh women who have experienced sexual crimes during the calendar year,Total,22.2
2015,5.2.3: Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,Total,18.78
2015,5.2.4: Proportion of sexual crime against girl children to total crime against children during the calendar year,Total,46.98
2015,5.2.5: Proportion of trafficking of girl children to total children trafficked during the calendar year,Total,90.29
2015,"5.3.2: Proportion of cases reported under the Prohibition of Child Marriage Act (early marriage of children below 18 years of age) to total crime against children, (in percentage)",Total,0.31
2015,6.3.2: Proportion of water bodies with good ambient water quality,Total,87.0
2015,6.4.3: Per capita availability of water,Total,1508.0
2015,7.b.1: Installed renewable energy generating capacity in the country(in watts per capita) (similar to 12.a.1),Total,63.68
2015,"8.7.1: Human trafficking cases per 10,00,000 population.",Total,5.46
2015,8.7.2: Number of Missing Children (similar to Indicator 16.2.3),Total,60443.0
2015,8.8.1: Number of accidents in factories,Total,21364.0
2015-16,1.3.1: Percentage of households with any usual member covered by a health scheme or health insurance,Total,28.7
2015-16,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),102131284.0
2015-16,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,85.5
2015-16,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,18.32
2015-16,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,23095.0
2015-16,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,21728521.0
2015-16,1.3.8: Coverage of New Pension Scheme (NPS),Total,9750406.0
2015-16,1.4.2: Number of telephone subscriptions as percentage of total population,Total,83.4
2015-16,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,29.87
2015-16,1.b.1: Proportion of budget earmarked under gender budget,Total,4.46
2015-16,10.4.1: Labour Share of GDP,Total,30.23
2015-16,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.66
2015-16,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,2.89
2015-16,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.08
2015-16,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.3
2015-16,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.22
2015-16,14.1.1: Coastal Water Quality Index (CWQI),Good,2.0
2015-16,14.1.1: Coastal Water Quality Index (CWQI),Moderate,7.0
2015-16,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,64.94
2015-16,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,3.078
2015-16,15.2.2: Total area covered under different Afforestation schemes,Total,1381596.0
2015-16,15.3.1: Proportion of land that is degraded over total land area,Total,27.77
2015-16,15.4.2: Percentage change in per capita income of Himalayan States over previous year,Total,10.6
2015-16,15.b.1: Percentage of government spending on environmental protection to total government expenditure,Total,0.05
2015-16,16.10.1: Percentage of RTI queries responded (similar to Indicator 16.6.2),Total,81.77
2015-16,16.6.1: Primary government expenditures as a proportion of original approved budget,Total,100.75
2015-16,16.6.2: Percentage of RTI queries responded (similar to 16.10.1),Total,81.77
2015-16,16.6.3: Number of Government services provided online to citizens.,Online Services,968.0
2015-16,"17.1.1: Total government revenue as a proportion of GDP, by source",Total,8.68
2015-16,17.1.2: Proportion of domestic budget funded by domestic taxes,Total,68.14
2015-16,17.3.1: Foreign Direct Investment as proportion of Gross National Income.,Total,2.16
2015-16,17.3.2: Volume of remittances as a proportion of total GDP,Total,2.98
2015-16,17.4.1: Debt service as a proportion of exports of goods and services.,Total,10.5
2015-16,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Broadband ( >= 512 Kbps),1.322
2015-16,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Narrowband ( < 512 Kbps),0.269
2015-16,2.1.1: Percentage of children aged under 5 years who are underweight,Total,35.7
2015-16,2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013,Total,95.18
2015-16,2.2.1: Percentage of children under age 5 years who are stunted,Total,38.4
2015-16,2.2.2: Percentage of children under 5 years who are wasted,Total,21.0
2015-16,"2.2.3: Percentage of women whose Body Mass Index (BMI) is below normal, 2015-16",Total,22.9
2015-16,2.2.4: Percentage of pregnant women age 15-49 years who are anaemic (Hb<11.0 g/dl),Total,50.4
2015-16,2.2.5: Percentage of children age 6-59 months who are anaemic (Hb<11.0 g/dl).,Total,58.5
2015-16,2.3.1: Agriculture productivity of wheat and rice,Rice,2400.0
2015-16,2.3.1: Agriculture productivity of wheat and rice,Wheat,3034.0
2015-16,2.3.2: Gross Value Added in Agriculture per worker,Total,61427.0
2015-16,2.3.3: Ratio of institutional Credit to Agriculture to the Agriculture output,Total,0.77
2015-16,2.4.1: Proportion of Net Sown Area to Cultivable land,Total,76.82
2015-16,2.4.3: Percentage of net area under organic farming,Total,0.974
2015-16,2.5.3: Conservation of fish genetic resource (in number),Total,925.0
2015-16,2.a.2: Percentage share of expenditure in Intellectual Property Product (R&D) in agriculture to GVA in agriculture,Total,0.044
2015-16,3.1.2: Percentage of births attended by skilled health personnel (period 5 years),Total,81.4
2015-16,3.1.3: Percentage of births attended by skilled health personnel (period 1 years),Total,84.4
2015-16,"3.1.4: Percentage of women aged 15-49 years with a live birth, for last birth, who received antenatal care, four times or more(period for 5 years / 1 year)",Total,51.2
2015-16,"3.3.1: Number of new HIV infections per 1,000 uninfected population",Total,0.07
2015-16,"3.3.6: The proportion of grade-2 cases amongst new cases of Leprosy, (in Rate per million population)",Total,4.46
2015-16,3.5.1: Percentage of population (men (15-49 years) and women (15 - 49 years)) who drink alcohol about once a week out of total population (men (15-49 years) and women (15 - 49 years)) who drink alcohol,Men(15 �49 yrs),40.7
2015-16,3.5.1: Percentage of population (men (15-49 years) and women (15 - 49 years)) who drink alcohol about once a week out of total population (men (15-49 years) and women (15 - 49 years)) who drink alcohol,Women(15-49 yrs),35.0
2015-16,3.5.2: Number of persons treated in de-addiction centers,Total,146124.0
2015-16,3.5.3: Percentage of population (men (15-54 years) and women (15-49 years)) who consume alcohol,Men(15 �49 yrs),29.5
2015-16,3.5.3: Percentage of population (men (15-54 years) and women (15-49 years)) who consume alcohol,Women(15-49 yrs),1.2
2015-16,3.7.1: Percentage of currently married women aged 15-49 years who have their need for family planning satisfied with modern methods,Total,71.9
2015-16,3.7.3: Percentage of institutional births (period for 5 years/1 year),1 year,82.6
2015-16,3.7.3: Percentage of institutional births (period for 5 years/1 year),5 year,78.9
2015-16,3.7.4: Percentage of currently married women (15-49 years) who use any modern family planning methods (similar to Indicator 3.8.1 and 5.6.1)),Total,47.7
2015-16,3.7.5: Percentage of women aged 15-19 years who were already mothers or pregnant,Total,7.9
2015-16,3.8.1: Percentage of currently married women (15-49 years) who use any modern family planning methods (similar to Indicator 3.7.4 and 5.6.1)),Total,47.7
2015-16,3.8.3: Percentage of people living with HIV currently receiving ART among the detected number of adults and children living with HIV,Total,62.0
2015-16,"3.8.4: Prevalence of hypertension among men and women age 15- 49 years, 2015-16 (in percentage)",Female,14.8
2015-16,"3.8.4: Prevalence of hypertension among men and women age 15- 49 years, 2015-16 (in percentage)",Male,11.0
2015-16,"3.8.5: Percentage of population in age group 15- 49 who reported sought treatment out of total population in that age group having diabetes, 2015-16",Female,81.3
2015-16,"3.8.5: Percentage of population in age group 15- 49 who reported sought treatment out of total population in that age group having diabetes, 2015-17",Male,72.5
2015-16,3.8.6: Percentage of women age 15-49 who have ever undergone Cervix examinations,Total,22.3
2015-16,3.9.2: Proportion of men and women reporting Asthma in the age group 15-49 years,Female,1.9
2015-16,3.9.2: Proportion of men and women reporting Asthma in the age group 15-49 years,Male,1.2
2015-16,"3.b.1: Percentage of children aged 12-23 months fully immunized (BCG, Measles and three doses of Pentavalent vaccine), 2015-16",Total,62.0
2015-16,3.b.2: Budgetary allocation for Department of Health Research,Total,1018.17
2015-16,3.c.2: Percentage of government spending (including current and capital expenditure) in health sector to GDP,Total,1.19
2015-16,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 10,80.44
2015-16,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 5,97.59
2015-16,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 8,98.58
2015-16,4.1.3: Gross Enrolment Rate(GER) in higher secondary education,Total,48.32
2015-16,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Primary,94.11
2015-16,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Upper Primary,72.02
2015-16,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Primary,98.79
2015-16,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Secondary,58.35
2015-16,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Upper Primary,81.29
2015-16,4.1.7: Number of years (i) free and (ii) compulsory education guaranteed in legal frameworks,Compulsory,8.0
2015-16,4.1.7: Number of years (i) free and (ii) compulsory education guaranteed in legal frameworks,Free,8.0
2015-16,"4.3.2: Proportion of male-female enrolled in higher education, technical and vocational education",Higher Education,1.01
2015-16,4.3.3: Gross enrolment ratio for tertiary education,Tertiary Education,24.48
2015-16,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Higher Secondary,1.02
2015-16,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Primary,1.03
2015-16,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Secondary,1.02
2015-16,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Tertiary Education,0.92
2015-16,4.5.2: Enrolment ratio of children with disabilities,Elementary,1.16
2015-16,4.5.2: Enrolment ratio of children with disabilities,Higher Secondary,0.25
2015-16,4.5.2: Enrolment ratio of children with disabilities,Primary,1.18
2015-16,4.5.2: Enrolment ratio of children with disabilities,Secondary,0.56
2015-16,4.5.2: Enrolment ratio of children with disabilities,Upper Primary,1.13
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly  Toilets,19.79
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly Ramp ,61.0
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic drinking water,86.62
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic hand washing facilities (as per the WASH indicator definitions),51.6
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Computers for pedagogical purposes,27.31
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Electricity,58.55
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Boys),95.65
2015-16,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Girls),96.9
2015-16,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Higher Secondary,64.45
2015-16,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Primary,67.82
2015-16,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Secondary,81.6
2015-16,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Upper Primary,74.56
2015-16,5.2.6: Percentage of ever married women age 15-49 years who have ever experienced physical or sexual violence committed by their husband,Total,30.9
2015-16,5.3.1: Percentage of women aged 20-24 years who were married by exact age 18 years,Total,26.8
2015-16,"5.5.2: Proportion of women in managerial positions including women in Board of Director, in listed companies, (per 1,000 persons)",Total,173.0
2015-16,5.6.1: Percentage of currently married women (15-49 years) who use any modern family planning methods (similar to Indicator 3.7.4 and 3.8.1),Total,47.7
2015-16,5.6.2: Unmet need for family planning for currently married women aged 15-49 years,Total,12.9
2015-16,5.6.3: Percentage of population aged 15-24 years with comprehensive knowledge of HIV/ AIDS,Female,21.7
2015-16,5.6.3: Percentage of population aged 15-24 years with comprehensive knowledge of HIV/ AIDS,Male,31.5
2015-16,5.a.1: Operational land holdings - (female operated operational holding),Female,13.96
2015-16,"5.a.5: Exclusive women SHGs in Bank linked SHGs, (in percentage)",Total,88.92
2015-16,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2015-16,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,14.0
2015-16,6.1.1: Percentage of Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),Rural,35.76
2015-16,6.1.2: Percentage of population using an improved drinking water source (Rural),Rural,94.57
2015-16,6.2.1: Proportion of households having access to toilet facility (Urban and Rural),Rural,50.9
2015-16,6.2.2: Percentage of Districts achieving Open Defecation Free (ODF) target,Total,0.72
2015-16,"6.2.3: Proportion of schools with separate toilet facility for girls,(in percentage)",Total,96.9
2015-16,"6.4.2: Per capita storage of water, (in m3/person)",Total,198.02
2015-16,7.2.1: Renewable energy share in the total installed electricity generation,Total,13.4
2015-16,"7.3.1: Energy intensity measured in terms of primary energy and GDP, (in mega joules per rupee)",Total,0.2072
2015-16,8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,Total,6.6
2015-16,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",ATMs,16.5
2015-16,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",Banking Outlets,59.9
2015-16,"8.10.2: Number of accounts (include deposit and credit accounts) of scheduled commercial banks per 1,000 population",Total,1408.0
2015-16,"8.2.2: Total number of patents issued (granted), (similar to Indicator 8.3.2 and 9.5.3) )",Total,6326.0
2015-16,8.2.3: Annual growth in manufacturing sector,Manufacturing,13.1
2015-16,8.2.4: Annual growth in agriculture sector,"Agriculture, forestry and fishing",0.6
2015-16,"8.3.2: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 9.5.3) )",Total,6326.0
2015-16,8.3.3: Outstanding Credit to MSME,Total,1216007.09
2015-16,"8.4.2: Per capita fossil fuel consumption, (in Kg.)",Total,136.9
2015-16,8.8.3: Percentage of households receiving social protection benefits under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,36.72
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Cargo,0.62
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Passengers,85.2
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Cargo,0.25
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Passengers,18.63
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Freight,655605.0
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Passengers,8107.0
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Road Freight,2027.4
2015-16,"9.1.2: Passenger and freight volumes, by mode of transport",Road Passengers,15428.0
2015-16,9.1.3: Gross Capital Formation by industry of use,Constant Prices,3731740.0
2015-16,9.1.3: Gross Capital Formation by industry of use,Current Prices,4219570.0
2015-16,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At constant price,16.75
2015-16,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At current price,15.58
2015-16,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,Per capita,1483.9
2015-16,9.2.3: Percentage Share of GVA in Manufacturing to Total GVA,GVA,17.1
2015-16,"9.3.1: Share of household sector in total industry value added, (in percentage)",Total,43.7
2015-16,"9.3.2: Percentage of credit flow MSME (as a percentage of Total Adjusted Net Bank Credit), (in percentage)",Total,18.18
2015-16,9.4.1: Total CO2 emissions of power sector per unit of GDP(in Tonne/Rupees Crore),Total,61.45
2015-16,9.5.1: Research and development expenditure as a proportion of GDP,Total,3.52
2015-16,9.5.2: Researchers (in full time equivalent) per million population,Total,218.0
2015-16,"9.5.3: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 8.3.2) )",Total,6326.0
2015-16,"9.b.1: Share of IPP in total Gross Fixed Capital Formation, (in percentage)",Total,12.26
2015-16,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Constant Prices,4.54
2015-16,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Current Prices,4.17
2015-16,9.c.1: Number of Internet Subscription as percentage of total population,Total,26.98
